file,reason for higher coverage,Example candidate,
snippet_264,adequate imports and meaninful values,,
snippet_444,adequate imports and meaninful values,,multiple values
snippet_684,meaninful values and meaninful values,,
snippet_501,multiple values to cover different branches and meaninful values ,,phase 1
snippet_701,meaninful values and multiple values,,phase 1 and 2
snippet_706,adequate imports and meaninful values and multiple values,,phase 1 and 2
snippet_722,adequate imports and meaninful values and multiple values,x,phase 1
snippet_102,meaninful values,,
snippet_134,meaninful values,,
snippet_30,meaninful values,,
./popular_projects_snippets_dataset/black/bodies/body_292.py,adequate imports and meaninful values,,
./popular_projects_snippets_dataset/flask/bodies/body_66.py,adequate import and meaninful values,,
/popular_projects_snippets_dataset/black/bodies/body_49.py,meaninful and multiple values,,
./popular_projects_snippets_dataset/flask/bodies/body_364.py,multiple values and meaninful values,,
./popular_projects_snippets_dataset/scrapy/bodies/body_164.py,adequate imports and meaninful values and multiple values,x (refine_9_9),
./popular_projects_snippets_dataset/scrapy/bodies/body_525.py,meaninful values and multiple values,,
./popular_projects_snippets_dataset/black/bodies/body_282.py,meaninful values and multiple values,,
/popular_projects_snippets_dataset/tensorflow/bodies/body_7033.py,adequate imports and meaninful values,,
./popular_projects_snippets_dataset/black/bodies/body_88.py,meaninful value,,
./popular_projects_snippets_dataset/flask/bodies/body_298.py,adequate imports and meaninful values,,